District,Total population,number of educated people,number of 15-45,number of employers,long_latt,number_gyms,number_venues
Old Toronto,43365,39080,29695,31375,"[-79.3546047826462, 43.6549105254359]",3,95
North York,45025,37220,23425,22810,"[-79.3911674290048, 43.7806330113652]",0,4
Scarborough,45905,31355,19040,22630,"[-79.200181515255, 43.8036974725661]",1,20
Scarborough,53350,33590,22885,21665,"[-79.2183581838386, 43.7490457922858]",1,14
Etobicoke,38070,28235,15960,19735,"[-79.541660068977, 43.6150511840077]",0,47
Scarborough,44915,29465,17720,19450,"[-79.5055865811382, 43.6654755684059]",0,19
Scarborough,45085,28240,19360,19425,"[-79.2259603274949, 43.7889846980208]",1,12
Old Toronto,34635,21815,17335,18910,"[-79.4545074472216, 43.6616327757039]",2,89
Old Toronto,28590,24210,16490,18085,"[-79.3861885322844, 43.6975043661747]",2,53
Old Toronto,28345,25065,17970,17795,"[-79.3830705117445, 43.6613720049663]",0,98
Old Toronto,29180,23495,15095,16770,"[-79.4121466573202, 43.6744312990078]",3,63
North York,34620,24620,14365,16420,"[-79.3361123102507, 43.7415562256228]",0,21
Etobicoke,34100,21195,15145,15865,"[-79.5558065968119, 43.7073093326377]",0,28
East York,34650,19565,14360,15800,"[-79.5284311615202, 43.7193551775753]",0,13
Old Toronto,21000,18010,14920,15535,"[-79.420759416622, 43.6389032792075]",3,97
Etobicoke,26550,20080,11400,15120,"[-79.4784745053441, 43.6180407214954]",2,31
Old Toronto,25640,16950,12375,13730,"[-79.3342521342529, 43.6431806090002]",0,9
Scarborough ,30280,19805,11850,13230,"[-79.2816161258827, 43.797405754163]",0,26
North York,26910,20555,9615,13030,"[-79.326504539789, 43.7325704244428]",2,14
Etobicoke,24690,17820,9190,12550,"[-79.48496738444501, 43.6412304354618]",1,35
Scarborough,27020,17625,10255,12515,"[-79.3195548771288, 43.7679300520975]",1,46
North York,32790,18130,14745,12480,"[-79.5799043113426, 43.7606047637549]",0,7
Old Toronto,21300,16840,10500,12375,"[-79.473687105861, 43.6618491708331]",2,74
North York,26735,19700,11600,12325,"[-79.3662204557787, 43.790141293136706]",0,27
North York,25445,19235,10180,12245,"[-79.4470012598403, 43.7670517885172]",1,18
Scarborough ,27870,18300,11460,12180,"[-79.2400495723641, 43.7466257573718]",0,13
Old Toronto,21135,15820,8450,12155,"[-79.293211134959, 43.6800049510967]",0,50
Scarborough,27160,17170,10765,12115,"[-79.2885873540872, 43.8067440626433]",0,51
Old Toronto,21750,16420,9205,12060,"[-79.4521493275074, 43.6551927866022]",0,98
North York,27715,17375,13615,12030,"[-79.5080896369474, 43.7627147512454]",0,21
Scarborough ,24775,16145,10450,11720,"[-79.2698075136083, 43.7016197049505]",0,24
Scarborough,27390,18660,10395,11345,"[-79.3185495361531, 43.778023654632]",2,47
North York,31395,15020,12545,11320,"[-79.5053339191882, 43.757902523714]",0,18
East York,20840,14275,8885,11045,"[-79.2849230873244, 43.6807253738272]",0,40
Old Toronto,23185,16330,8295,10945,"[-79.4274225674093, 43.7096042496363]",0,14
Scarborough ,21860,14975,7880,10925,"[-79.2698201397013, 43.6958383345337]",0,15
North York,23050,17790,9875,10900,"[-79.4270213613855, 43.7772079217892]",1,37
Scarborough,26550,17155,10440,10755,"[-79.1960803388911, 43.7756868632516]",0,15
Scarborough,25010,17135,9915,10745,"[-79.3089876934767, 43.8082759877451]",0,25
Scarborough ,24360,15435,9995,10715,"[-79.26826826942602, 43.7601505266218]",0,31
Old Toronto,20635,16640,7340,10470,"[-79.3793753144355, 43.6718374305527]",3,95
York,21075,13195,8885,10465,"[-79.2896432830877, 43.6945273424173]",2,36
Old Toronto,19345,16495,12800,10220,"[-79.3912583210563, 43.6606532521722]",1,96
York,22270,12730,8935,9955,"[-79.5071296688486, 43.6793510892533]",0,5
Scarborough ,21990,14535,8840,9860,"[-79.2891688527481, 43.7851873380096]",0,34
Old Toronto,21245,13725,11035,9780,"[-79.4388361647774, 43.632999184321]",1,23
Old Toronto,18500,13210,10420,9495,"[-79.3889278224463, 43.6563478260557]",0,98
Etobicoke,21345,14165,7670,9355,"[-79.5683296239203, 43.6741191022746]",0,9
Old Toronto,16805,10605,8750,9155,"[-79.4067961746276, 43.6542865396434]",0,100
Old Toronto,15980,12170,6585,9105,"[-79.3907468168709, 43.6913291659809]",6,70
East York,16710,11335,6940,9060,"[-79.3164905693791, 43.6943022597829]",0,21
Scarborough,22830,13935,9220,9010,"[-79.2581798488883, 43.7422531679878]",0,11
York,22080,14080,8420,8965,"[-79.447423145596, 43.7250977242017]",3,74
Etobicoke,21725,12860,8480,8935,"[-79.5373732982275, 43.7082631716579]",1,21
Old Toronto,17825,13355,9720,8935,"[-79.376270792038, 43.6664293113267]",1,98
Etobicoke,18805,13355,6605,8900,"[-79.5732808174987, 43.6447371651577]",0,14
North York,17955,13825,6895,8800,"[-79.3852387333819, 43.747808761629]",0,15
North York,22165,14100,9595,8790,"[-79.3447628886306, 43.7150405941081]",0,37
North York,17675,13960,7900,8750,"[-79.3834514087178, 43.7640817777541]",3,37
York,18170,10720,7780,8625,"[-79.5206519989889, 43.6987539773945]",0,17
Old Toronto,13735,10515,7870,8555,"[-79.4179822658754, 43.6552544722333]",0,100
Old Toronto,16310,11445,8845,8535,"[-79.3727919381748, 43.6527040953801]",3,94
East York,18315,12015,7195,8480,"[-79.4298991024178, 43.6838873093489]",0,78
North York,22060,11265,9380,8280,"[-79.5168068949797, 43.7709321923081]",0,16
Old Toronto,15050,10170,7135,8255,"[-79.4521493275074, 43.6551927866022]",0,98
York,14110,10695,6780,8185,"[-79.4342314357121, 43.6917086927974]",0,13
East York,17010,11875,5870,8030,"[-79.3605184127031, 43.7031419057215]",0,49
North York,17785,10145,7505,7860,"[-79.4770994524835, 43.7090878618258]",0,22
Old Toronto,15075,11335,5765,7810,"[-79.4070796557148, 43.7240636065881]",2,55
Scarborough,17585,11805,7255,7605,"[-79.1967906095139, 43.7960730957455]",1,25
York,14295,9600,6220,7585,"[-79.4400702000353, 43.7055855281681]",0,24
North York,17650,13355,6495,7570,"[-79.3691568902213, 43.7950899473645]",0,29
North York,14610,10110,6030,7555,"[-79.4436682094965, 43.7311189337355]",2,58
North York,14640,11370,6580,7550,"[-79.4095250554848, 43.7562809662757]",3,49
North York,16425,12580,7100,7550,"[-79.3932382011056, 43.784660837406]",0,8
North York,17180,11340,6755,7535,"[-79.3224459758419, 43.7163258785894]",3,23
Old Toronto,14540,10345,5550,7515,"[-79.4049913405976, 43.7359806040823]",1,56
North York,15435,10385,6115,7425,"[-79.430502667246, 43.7575784301813]",1,26
North York,16145,11315,6425,7400,"[-79.3377107455718, 43.7758324484203]",2,73
Etobicoke,14945,10930,5390,7245,"[-79.51538605271371, 43.6586966281016]",1,26
North York,15005,11950,6450,7225,"[-79.4137911698636, 43.7729777558747]",2,87
Scarborough ,15700,10505,5685,7190,"[-79.2252201206122, 43.7112728027011]",1,9
Old Toronto,12050,9595,5335,7155,"[-79.3713421467449, 43.6718887916088]",0,87
East York,14075,9275,6380,7025,"[-79.3155936837105, 43.665629600505]",4,68
Old Toronto,11655,10230,5145,7010,"[-79.4050120547099, 43.6959787036027]",2,41
Scarborough,17050,10895,6825,6925,"[-79.2557419625388, 43.7177645249128]",0,13
Scarborough,13100,9790,4800,6870,"[-79.1456260825496, 43.7697284079075]",0,9
Old Toronto,12195,8710,4990,6850,"[-79.3597967544888, 43.6707365412866]",2,90
Old Toronto,12055,7560,6140,6835,"[-79.4296684356792, 43.6430270932572]",2,98
North York,15850,9195,6820,6810,"[-79.5490795311033, 43.7357092350169]",0,8
East York,19225,11445,8530,6735,"[-79.350370238326, 43.699651952332]",1,38
Old Toronto,13735,8005,6170,6700,"[-79.4521351447371, 43.6720006802834]",1,64
Scarborough,13100,9875,5080,6700,"[-79.1900496268942, 43.7789760866027]",1,17
Old Toronto,13985,8890,5730,6700,"[-79.4146538367128, 43.6739102281804]",2,68
Scarborough,15595,10215,7095,6695,"[-79.296869933918, 43.7011386713316]",0,20
North York,12475,9405,5280,6655,"[-79.4165388363939, 43.7079720847151]",1,27
Old Toronto,11450,8005,6020,6650,"[-79.4316412650605, 43.6527430564478]",0,99
Old Toronto,14015,7945,6840,6545,"[-79.4686693253837, 43.6761412832912]",0,53
East York,11705,8225,5150,6440,"[-79.3099421226598, 43.6720732368789]",2,71
Scarborough,16615,9975,6800,6365,"[-79.2200307106905, 43.7284974757118]",0,11
Etobicoke,11900,7915,4520,6240,"[-79.5532040267975, 43.5954996876866]",1,17
North York,14685,8000,5370,6240,"[-79.4706576846475, 43.7253203436703]",1,39
Old Toronto,10580,8515,4985,6145,"[-79.39764385903482, 43.7033975614873]",5,90
Old Toronto,10485,8760,4320,6140,"[-79.4014550142353, 43.686640919782]",7,64
North York,13535,10105,4675,5935,"[-79.3714520973767, 43.8045095069159]",0,18
York,13150,7535,5590,5860,"[-79.4971199550629, 43.6811207795402]",0,18
East York,11565,8055,5180,5805,"[-79.3630337935626, 43.683474326764404]",1,48
Scarborough,13095,8460,5550,5760,"[-79.2675094482568, 43.730909764805]",0,20
York,12015,6240,5390,5680,"[-79.4569297958965, 43.676759807917406]",0,23
North York,10925,8495,4295,5610,"[-79.4014344934971, 43.6910599029414]",4,65
Old Toronto,11200,8360,3775,5585,"[-79.53748243791962, 43.65290812360251]",0,21
Etobicoke,9630,6830,3920,5360,"[-79.5247378586515, 43.5897484358093]",0,19
Old Toronto,10905,7445,4650,5360,"[-79.4968413564576, 43.6012283261405]",1,20
North York,12530,6510,5000,5155,"[-79.5370671778546, 43.7531040469983]",0,16
Old Toronto,9635,6875,3955,5140,"[-79.4949287739901, 43.6593769938082]",1,31
North York,11340,8305,5425,5070,"[-79.36344339205192, 43.771211422560405]",0,36
Scarborough,13505,8080,5770,5010,"[-79.3048273200971, 43.7165851942284]",1,17
North York,10640,5450,4395,5000,"[-79.4640654427806, 43.6913264641156]",0,25
Etobicoke,10435,8045,3195,4990,"[-79.5571321976606, 43.6295278158994]",3,33
Etobicoke,10925,7000,4185,4970,"[-79.5702971112455, 43.6385405295131]",0,25
East York,9450,6215,3995,4855,"[-79.3167143358462, 43.68877266712471]",0,45
North York,10195,5715,3945,4840,"[-79.4708595161089, 43.7164364281583]",0,24
East York,9115,6475,3425,4840,"[-79.3356904057412, 43.7030791997533]",1,30
York,9855,5285,4240,4785,"[-79.4628934618934, 43.6889767313266]",0,26
Etobicoke,10485,6505,3950,4680,"[-79.5741646343167, 43.7355404392813]",0,13
Scarborough,9815,7285,3040,4645,"[-79.205068651069, 43.7535091917318]",0,15
Etobicoke,9175,6700,2920,4570,"[-79.5221412263233, 43.656033016036005]",1,29
Etobicoke,10580,6625,3465,4480,"[-79.5060778366171, 43.6800127496212]",0,5
East York,7655,5690,3240,4325,"[-79.3454024242913, 43.680441195517204]",4,93
Etobicoke,10140,6170,4020,4290,"[-79.5617047368198, 43.742112086675405]",0,23
Etobicoke,9550,5470,3890,4065,"[-79.55307975439071, 43.7298315076541]",0,8
North York,8705,5265,3345,4060,"[-79.5277781900335, 43.7065371143048]",1,33
East York,7825,5645,3195,4060,"[-79.3134366327372, 43.6872873462959]",0,44
North York,8715,6570,2840,4025,"[-79.4022194797677, 43.7441935625678]",1,15
York,7920,5315,3095,3990,"[-79.3075373880448, 43.7886401952854]",0,20
East York,7765,4980,3475,3805,"[-79.3354787855352, 43.6725854142185]",1,75
Old Toronto,7790,5435,4565,3680,"[-79.3936115465026, 43.6655972244077]",4,95
North York,9950,5260,3765,3560,"[-79.5011714568399, 43.7185614269282]",0,18
Old Toronto,10010,5820,4940,3450,"[-79.3564502940338, 43.6644904578707]",1,95
York,6490,3585,2805,2790,"[-79.4647302913102, 43.692362616926]",0,25
